question,answer
"Кто является целевой аудиторией вашего сервиса?","Целевой аудиторией нашего сервиса являются селлеры и менеджеры на маркетплейсе Wildberries, которым необходимо получать детальную статистику и ключевые бизнес-метрики для ведения своего бизнеса."
"Какие основные функции предоставляет ваш сервис?","Основными функциями сервиса является просмотр статистики и аналитики маркетплейса, которая сведена к одному дашборду. Дашборд содержит наглядные чарты и виджеты, которые демонстрируют ключевые метрики."
"Какие задачи решает ваш сервис?","Сервис решает задачи грамотного отображения статистики для своевременных действий и понимания общей картины в бизнесе, связанного с продажами и реализацией товара на маркетплейсе."
"Какие могут быть ограничения у вашего сервиса?","Доступ к сервису платный и осуществляется посредством месячной подписки. Также данные в сервисе хранятся за последние 30 дней."
"Как быстро сервис заполняет данные после регистрации?","После регистрации пользователя данные за последние 30 дней заполняются в течение получаса."
"Как обеспечивается конфиденциальность данных в вашем сервисе?","Данные хранятся на закрытой локальной базе данных, и мы обязуемся не разглашать их."
"Можно ли обновлять данные вручную?","Да, у сервиса есть возможность принудительного обновления данных в случае, если API маркетплейса не работает."
"Какие метрики отображаются на дашборде 'Остатки на складе'?","На дашборде отображаются остатки товаров, оборачиваемость, товары в пути от клиента и к клиенту."
"Как рассчитывается оборачиваемость товаров?","Оборачиваемость рассчитывается как отношение количества товаров на складе к среднему количеству заказов в день."
"Какие визуализации используются на дашборде 'Остатки на складе'?","На дашборде используются тепловая карта остатков, Treemap по остаткам и таблица с детализированной информацией по каждому товару."
"Какие фильтры доступны на дашборде 'Остатки на складе'?","Фильтры доступны по артикулу WB, артикулу продавца, бренду и предмету."
"Какие метрики отображаются на дашборде 'Рекламные расходы'?","На дашборде отображаются CTR, CPC, CPO и ДРР."
"Как рассчитывается CTR на дашборде 'Рекламные расходы'?","CTR рассчитывается как отношение количества кликов к количеству показов."
"Как рассчитывается CPC на дашборде 'Рекламные расходы'?","CPC рассчитывается как отношение суммы затрат к количеству кликов."
"Как рассчитывается CPO на дашборде 'Рекламные расходы'?","CPO рассчитывается как отношение суммы затрат к количеству заказов."
"Как рассчитывается ДРР на дашборде 'Рекламные расходы'?","ДРР рассчитывается как отношение затрат на рекламу к сумме заказов."
"Какие визуализации используются на дашборде 'Рекламные расходы'?","На дашборде используются линейные диаграммы для отображения динамики показателей и сводные таблицы по артикулам и кампаниям."
"Какие фильтры доступны на дашборде 'Рекламные расходы'?","Фильтры доступны по артикулу WB, артикулу продавца, бренду, предмету и диапазону дат."
"Какие метрики отображаются на дашборде 'Статистика'?","На дашборде отображаются заказы, продажи и отказы."
"Как рассчитывается процент отказов на дашборде 'Статистика'?","Процент отказов рассчитывается как отношение количества отказов к общему количеству заказов."
"Какие визуализации используются на дашборде 'Статистика'?","На дашборде используются линейные диаграммы для отображения динамики заказов, продаж и отказов, а также сводные таблицы по артикулам и регионам."
"Какие фильтры доступны на дашборде 'Статистика'?","Фильтры доступны по артикулу WB, артикулу продавца, бренду, предмету и диапазону дат."
"Какие метрики отображаются на дашборде 'Воронка продаж'?","На дашборде отображаются показы, клики, добавления в корзину, заказы и выкупы."
"Как рассчитывается конверсия в корзину на дашборде 'Воронка продаж'?","Конверсия в корзину рассчитывается как отношение количества добавлений в корзину к количеству кликов."
"Как рассчитывается конверсия в заказ на дашборде 'Воронка продаж'?","Конверсия в заказ рассчитывается как отношение количества заказов к количеству добавлений в корзину."
"Как рассчитывается процент выкупа на дашборде 'Воронка продаж'?","Процент выкупа рассчитывается как отношение количества выкупленных заказов к общему количеству заказов."
"Какие визуализации используются на дашборде 'Воронка продаж'?","На дашборде используется графическое представление воронки продаж, линейные графики конверсий по этапам и сводная таблица по артикулам."
"Какие фильтры доступны на дашборде 'Воронка продаж'?","Фильтры доступны по артикулу WB, артикулу продавца, бренду, предмету и диапазону дат."
"Как я могу получить доступ к вашему сервису?","Доступ к сервису осуществляется через платную подписку на месяц."
"Как быстро я получу доступ после оплаты?","После оплаты доступ предоставляется в течение нескольких минут."
"Какие данные доступны в сервисе?","В сервисе доступны данные за последние 30 дней, включая заказы, продажи, отказы, рекламные расходы и остатки на складе."
"Могу ли я экспортировать данные из вашего сервиса?","Да, у нас есть возможность экспорта данных в формате CSV."
"Как часто обновляются данные в сервисе?","Данные обновляются ежедневно."
