"question","answer"
"кто является целевой аудиторией вашего сервиса?","Целевой аудиторией нашего сервиса являются селлеры и менеджеры на маркетплейсе Wildberries, которым необходимо получать детальную статистику и ключевые бизнес-метрики для ведения своего бизнеса."
"какие основные функции предоставляет ваш сервис?","Основными функциями сервиса является просмотр статистики и аналитики маркетплейса, которая сведена к одному дашборду. Дашборд содержит наглядные чарты и виджеты, которые демонстрируют ключевые метрики."
"какие задачи решает ваш сервис?","Сервис решает задачи грамотного отображения статистики для своевременных действий и понимания общей картины в бизнесе, связанного с продажами и реализацией товара на маркетплейсе."
"какие могут быть ограничения у вашего сервиса?","Доступ к сервису платный и осуществляется посредством месячной подписки. Также данные в сервисе хранятся за последние 30 дней."
"как быстро сервис заполняет данные после регистрации?","После регистрации пользователя данные за последние 30 дней заполняются в течение получаса."
"как обеспечивается конфиденциальность данных в вашем сервисе?","Данные хранятся на закрытой локальной базе данных, и мы обязуемся не разглашать их."
"можно ли обновлять данные вручную?","Да, у сервиса есть возможность принудительного обновления данных в случае, если API маркетплейса не работает."
"какие метрики отображаются на дашборде 'остатки на складе'?","На дашборде отображаются остатки товаров, оборачиваемость, товары в пути от клиента и к клиенту."
"как рассчитывается оборачиваемость товаров?","Оборачиваемость рассчитывается как отношение количества товаров на складе к среднему количеству заказов в день."
"какие визуализации используются на дашборде 'остатки на складе'?","На дашборде используются тепловая карта остатков, Treemap по остаткам и таблица с детализированной информацией по каждому товару."
"какие фильтры доступны на дашборде 'остатки на складе'?","Фильтры доступны по артикулу WB, артикулу продавца, бренду и предмету."
"какие метрики отображаются на дашборде 'рекламные расходы'?","На дашборде отображаются CTR, CPC, CPO и ДРР."
"как рассчитывается ctr на дашборде 'рекламные расходы'?","CTR рассчитывается как отношение количества кликов к количеству показов."
"как рассчитывается cpc на дашборде 'рекламные расходы'?","CPC рассчитывается как отношение суммы затрат к количеству кликов."
"как рассчитывается cpo на дашборде 'рекламные расходы'?","CPO рассчитывается как отношение суммы затрат к количеству заказов."
"как рассчитывается дрр на дашборде 'рекламные расходы'?","ДРР рассчитывается как отношение затрат на рекламу к сумме заказов."
"какие визуализации используются на дашборде 'рекламные расходы'?","На дашборде используются линейные диаграммы для отображения динамики показателей и сводные таблицы по артикулам и кампаниям."
"какие фильтры доступны на дашборде 'рекламные расходы'?","Фильтры доступны по артикулу WB, артикулу продавца, бренду, предмету и диапазону дат."
"какие метрики отображаются на дашборде 'статистика'?","На дашборде отображаются заказы, продажи и отказы."
"как рассчитывается процент отказов на дашборде 'статистика'?","Процент отказов рассчитывается как отношение количества отказов к общему количеству заказов."
"какие визуализации используются на дашборде 'статистика'?","На дашборде используются линейные диаграммы для отображения динамики заказов, продаж и отказов, а также сводные таблицы по артикулам и регионам."
"какие фильтры доступны на дашборде 'статистика'?","Фильтры доступны по артикулу WB, артикулу продавца, бренду, предмету и диапазону дат."
"какие метрики отображаются на дашборде 'воронка продаж'?","На дашборде отображаются показы, клики, добавления в корзину, заказы и выкупы."
"как рассчитывается конверсия в корзину на дашборде 'воронка продаж'?","Конверсия в корзину рассчитывается как отношение количества добавлений в корзину к количеству кликов."
"как рассчитывается конверсия в заказ на дашборде 'воронка продаж'?","Конверсия в заказ рассчитывается как отношение количества заказов к количеству добавлений в корзину."
"как рассчитывается процент выкупа на дашборде 'воронка продаж'?","Процент выкупа рассчитывается как отношение количества выкупленных заказов к общему количеству заказов."
"какие визуализации используются на дашборде 'воронка продаж'?","На дашборде используется графическое представление воронки продаж, линейные графики конверсий по этапам и сводная таблица по артикулам."
"какие фильтры доступны на дашборде 'воронка продаж'?","Фильтры доступны по артикулу WB, артикулу продавца, бренду, предмету и диапазону дат."
"как я могу получить доступ к вашему сервису?","Доступ к сервису осуществляется через платную подписку на месяц."
"как быстро я получу доступ после оплаты?","После оплаты доступ предоставляется в течение нескольких минут."
"какие данные доступны в сервисе?","В сервисе доступны данные за последние 30 дней, включая заказы, продажи, отказы, рекламные расходы и остатки на складе."
"могу ли я экспортировать данные из вашего сервиса?","Да, у нас есть возможность экспорта данных в формате CSV."
"как часто обновляются данные в сервисе?","Данные обновляются ежедневно."
"могу ли я настроить уведомления о ключевых изменениях в данных?","Да, у нас есть возможность настройки уведомлений по электронной почте."
"какие форматы отчетов доступны в вашем сервисе?","Доступны отчеты в формате PDF и CSV."
